shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence;shape_dist_traveled
53;-23.56084;-46.73074;7;3935
53;-23.56614;-46.73032;8;4650
53;-23.56827;-46.7321;9;5085
53;-23.568;-46.7405;10;6285
53;-23.56669;-46.73802;11;7885
53;-23.56668;-46.73842;12;8140
53;-23.568;-46.7405;13;9135
54;-23.568;-46.7405;1;0
54;-23.56852;-46.73181;2;1100
54;-23.56709;-46.7275;3;1605
54;-23.56589;-46.72534;4;1865
54;-23.56524;-46.72465;5;2225
54;-23.56666;-46.72727;6;2535
54;-23.56084;-46.73074;7;3935
54;-23.56614;-46.73032;8;4650
54;-23.56827;-46.7321;9;5085
54;-23.568;-46.7405;10;6285
54;-23.56669;-46.73802;11;7885
54;-23.56668;-46.73842;12;8140
54;-23.568;-46.7405;13;9135
55;-23.568;-46.7405;1;0
55;-23.56852;-46.73181;2;1100
55;-23.56709;-46.7275;3;1605
55;-23.56589;-46.72534;4;1865
55;-23.56524;-46.72465;5;2225
55;-23.56666;-46.72727;6;2535
55;-23.56084;-46.73074;7;3935
55;-23.56614;-46.73032;8;4650
55;-23.56827;-46.7321;9;5085
55;-23.568;-46.7405;10;6285
55;-23.56669;-46.73802;11;7885
55;-23.56668;-46.73842;12;8140
55;-23.568;-46.7405;13;9135
56;-23.568;-46.7405;1;0
56;-23.56852;-46.73181;2;1100
56;-23.56709;-46.7275;3;1605
56;-23.56589;-46.72534;4;1865
56;-23.56524;-46.72465;5;2225
56;-23.56666;-46.72727;6;2535
56;-23.56084;-46.73074;7;3935
56;-23.56614;-46.73032;8;4650
56;-23.56827;-46.7321;9;5085
56;-23.568;-46.7405;10;6285
56;-23.56669;-46.73802;11;7885
56;-23.56668;-46.73842;12;8140
56;-23.568;-46.7405;13;9135
57;-23.568;-46.7405;1;0
